YEAR,MO,DY,RH2M,PRECTOTCORR,AOD_55,ALLSKY_SFC_SW_DWN,IMERG_PRECTOT,Fecha
1981,1,1,75.59,1.93,,,,1981-01-01
1981,1,2,73.31,0.19,,,,1981-01-02
1981,1,3,73.68,1.62,,,,1981-01-03
1981,1,4,78.03,1.21,,,,1981-01-04
1981,1,5,82.03,0.15,,,,1981-01-05
1981,1,6,82.47,0.13,,,,1981-01-06
1981,1,7,82.39,0.17,,,,1981-01-07
1981,1,8,82.67,0.45,,,,1981-01-08
1981,1,9,87.69,0.27,,,,1981-01-09
1981,1,10,85.93,3.87,,,,1981-01-10
1981,1,11,87.37,7.58,,,,1981-01-11
1981,1,12,83.86,1.68,,,,1981-01-12
1981,1,13,76.69,0.16,,,,1981-01-13
1981,1,14,80.05,0.19,,,,1981-01-14
1981,1,15,83.44,2.32,,,,1981-01-15
1981,1,16,84.95,4.67,,,,1981-01-16
1981,1,17,85.72,3.26,,,,1981-01-17
1981,1,18,83.98,2.81,,,,1981-01-18
1981,1,19,82.81,0.89,,,,1981-01-19
1981,1,20,84.47,3.94,,,,1981-01-20
1981,1,21,86.06,4.61,,,,1981-01-21
1981,1,22,85.82,1.99,,,,1981-01-22
1981,1,23,79.12,0.92,,,,1981-01-23
1981,1,24,75.88,0.03,,,,1981-01-24
1981,1,25,77.86,0.0,,,,1981-01-25
1981,1,26,77.07,0.0,,,,1981-01-26
1981,1,27,72.29,0.02,,,,1981-01-27
1981,1,28,77.88,0.02,,,,1981-01-28
1981,1,29,78.4,0.0,,,,1981-01-29
1981,1,30,80.61,0.01,,,,1981-01-30
1981,1,31,81.44,3.25,,,,1981-01-31
1981,2,1,69.66,0.83,,,,1981-02-01
1981,2,2,70.14,1.06,,,,1981-02-02
1981,2,3,73.04,0.4,,,,1981-02-03
1981,2,4,73.23,0.01,,,,1981-02-04
1981,2,5,80.09,0.0,,,,1981-02-05
1981,2,6,81.87,0.0,,,,1981-02-06
1981,2,7,77.27,0.0,,,,1981-02-07
1981,2,8,77.73,0.0,,,,1981-02-08
1981,2,9,81.2,0.65,,,,1981-02-09
1981,2,10,62.04,0.42,,,,1981-02-10
1981,2,11,63.59,3.82,,,,1981-02-11
1981,2,12,69.11,2.22,,,,1981-02-12
1981,2,13,79.52,2.09,,,,1981-02-13
1981,2,14,81.72,2.17,,,,1981-02-14
1981,2,15,70.64,0.2,,,,1981-02-15
1981,2,16,77.07,0.05,,,,1981-02-16
1981,2,17,78.87,0.2,,,,1981-02-17
1981,2,18,78.83,0.04,,,,1981-02-18
1981,2,19,84.25,0.19,,,,1981-02-19
1981,2,20,83.89,0.07,,,,1981-02-20
1981,2,21,77.4,8.28,,,,1981-02-21
1981,2,22,81.05,2.56,,,,1981-02-22
1981,2,23,71.19,3.2,,,,1981-02-23
1981,2,24,68.22,0.07,,,,1981-02-24
1981,2,25,76.01,0.02,,,,1981-02-25
1981,2,26,76.21,0.0,,,,1981-02-26
1981,2,27,73.27,0.0,,,,1981-02-27
1981,2,28,72.03,0.0,,,,1981-02-28
1981,3,1,74.59,0.05,,,,1981-03-01
1981,3,2,77.57,0.05,,,,1981-03-02
1981,3,3,75.44,0.0,,,,1981-03-03
1981,3,4,61.44,0.01,,,,1981-03-04
1981,3,5,68.25,0.1,,,,1981-03-05
1981,3,6,69.63,2.84,,,,1981-03-06
1981,3,7,78.75,3.43,,,,1981-03-07
1981,3,8,80.51,1.79,,,,1981-03-08
1981,3,9,77.77,0.52,,,,1981-03-09
1981,3,10,82.26,5.33,,,,1981-03-10
1981,3,11,82.65,3.73,,,,1981-03-11
1981,3,12,82.71,3.93,,,,1981-03-12
1981,3,13,83.14,0.63,,,,1981-03-13
1981,3,14,80.37,0.08,,,,1981-03-14
1981,3,15,77.51,3.06,,,,1981-03-15
1981,3,16,78.1,0.52,,,,1981-03-16
1981,3,17,70.69,2.53,,,,1981-03-17
1981,3,18,63.5,0.45,,,,1981-03-18
1981,3,19,67.61,3.17,,,,1981-03-19
1981,3,20,63.13,0.0,,,,1981-03-20
1981,3,21,57.55,0.0,,,,1981-03-21
1981,3,22,55.89,0.56,,,,1981-03-22
1981,3,23,65.66,0.68,,,,1981-03-23
1981,3,24,70.46,0.36,,,,1981-03-24
1981,3,25,71.96,0.1,,,,1981-03-25
1981,3,26,71.43,0.0,,,,1981-03-26
1981,3,27,70.25,0.0,,,,1981-03-27
1981,3,28,70.98,0.0,,,,1981-03-28
1981,3,29,64.02,0.0,,,,1981-03-29
1981,3,30,64.92,0.0,,,,1981-03-30
1981,3,31,59.0,0.03,,,,1981-03-31
1981,4,1,69.22,0.13,,,,1981-04-01
1981,4,2,69.66,0.0,,,,1981-04-02
1981,4,3,65.43,0.03,,,,1981-04-03
1981,4,4,58.59,1.04,,,,1981-04-04
1981,4,5,68.07,1.02,,,,1981-04-05
1981,4,6,71.91,0.21,,,,1981-04-06
1981,4,7,67.46,0.01,,,,1981-04-07
1981,4,8,66.21,0.08,,,,1981-04-08
1981,4,9,65.79,0.0,,,,1981-04-09
1981,4,10,65.97,0.57,,,,1981-04-10
1981,4,11,68.97,0.08,,,,1981-04-11
1981,4,12,68.8,0.75,,,,1981-04-12
1981,4,13,69.67,3.34,,,,1981-04-13
1981,4,14,70.09,7.55,,,,1981-04-14
1981,4,15,75.12,4.22,,,,1981-04-15
1981,4,16,72.5,1.71,,,,1981-04-16
1981,4,17,70.73,0.2,,,,1981-04-17
1981,4,18,66.28,0.03,,,,1981-04-18
1981,4,19,68.15,0.02,,,,1981-04-19
1981,4,20,66.94,0.04,,,,1981-04-20
1981,4,21,67.94,0.11,,,,1981-04-21
1981,4,22,66.73,0.0,,,,1981-04-22
1981,4,23,67.68,1.93,,,,1981-04-23
1981,4,24,81.84,60.93,,,,1981-04-24
1981,4,25,87.48,5.27,,,,1981-04-25
1981,4,26,75.95,0.19,,,,1981-04-26
1981,4,27,75.41,0.46,,,,1981-04-27
1981,4,28,75.12,0.59,,,,1981-04-28
1981,4,29,69.21,0.02,,,,1981-04-29
1981,4,30,63.05,0.01,,,,1981-04-30
1981,5,1,63.95,0.02,,,,1981-05-01
1981,5,2,69.85,0.43,,,,1981-05-02
1981,5,3,72.56,1.61,,,,1981-05-03
1981,5,4,68.2,1.23,,,,1981-05-04
1981,5,5,72.46,0.53,,,,1981-05-05
1981,5,6,69.84,0.53,,,,1981-05-06
1981,5,7,71.4,0.0,,,,1981-05-07
1981,5,8,69.65,0.67,,,,1981-05-08
1981,5,9,64.31,0.62,,,,1981-05-09
1981,5,10,71.53,0.51,,,,1981-05-10
1981,5,11,65.05,0.14,,,,1981-05-11
1981,5,12,66.55,0.7,,,,1981-05-12
1981,5,13,65.3,1.82,,,,1981-05-13
1981,5,14,62.8,0.19,,,,1981-05-14
1981,5,15,50.2,0.05,,,,1981-05-15
1981,5,16,54.82,0.07,,,,1981-05-16
1981,5,17,49.68,0.0,,,,1981-05-17
1981,5,18,51.73,0.62,,,,1981-05-18
1981,5,19,57.93,0.96,,,,1981-05-19
1981,5,20,64.21,0.51,,,,1981-05-20
1981,5,21,66.67,3.13,,,,1981-05-21
1981,5,22,65.93,6.44,,,,1981-05-22
1981,5,23,70.88,1.93,,,,1981-05-23
1981,5,24,68.94,2.59,,,,1981-05-24
1981,5,25,64.55,1.02,,,,1981-05-25
1981,5,26,63.86,1.64,,,,1981-05-26
1981,5,27,65.59,3.05,,,,1981-05-27
1981,5,28,65.14,1.75,,,,1981-05-28
1981,5,29,64.4,6.01,,,,1981-05-29
1981,5,30,69.86,3.99,,,,1981-05-30
1981,5,31,79.87,20.47,,,,1981-05-31
1981,6,1,79.95,9.17,,,,1981-06-01
1981,6,2,79.71,14.0,,,,1981-06-02
1981,6,3,83.62,4.52,,,,1981-06-03
1981,6,4,77.26,3.23,,,,1981-06-04
1981,6,5,81.39,4.3,,,,1981-06-05
1981,6,6,79.63,15.25,,,,1981-06-06
1981,6,7,84.31,12.01,,,,1981-06-07
1981,6,8,80.63,15.57,,,,1981-06-08
1981,6,9,77.55,2.47,,,,1981-06-09
1981,6,10,84.44,13.47,,,,1981-06-10
1981,6,11,82.8,2.44,,,,1981-06-11
1981,6,12,81.1,1.56,,,,1981-06-12
1981,6,13,82.91,12.82,,,,1981-06-13
1981,6,14,86.9,16.25,,,,1981-06-14
1981,6,15,85.25,6.78,,,,1981-06-15
1981,6,16,88.95,18.31,,,,1981-06-16
1981,6,17,91.28,33.44,,,,1981-06-17
1981,6,18,89.18,12.65,,,,1981-06-18
1981,6,19,86.13,4.01,,,,1981-06-19
1981,6,20,81.14,2.38,,,,1981-06-20
1981,6,21,80.82,3.42,,,,1981-06-21
1981,6,22,84.78,5.81,,,,1981-06-22
1981,6,23,86.11,58.47,,,,1981-06-23
1981,6,24,86.37,27.77,,,,1981-06-24
1981,6,25,90.01,30.58,,,,1981-06-25
1981,6,26,79.69,10.86,,,,1981-06-26
1981,6,27,80.05,11.52,,,,1981-06-27
1981,6,28,83.27,10.64,,,,1981-06-28
1981,6,29,86.21,17.04,,,,1981-06-29
1981,6,30,90.37,12.11,,,,1981-06-30
1981,7,1,81.91,10.57,,,,1981-07-01
1981,7,2,79.42,3.18,,,,1981-07-02
1981,7,3,79.38,5.66,,,,1981-07-03
1981,7,4,82.35,4.15,,,,1981-07-04
1981,7,5,85.26,2.43,,,,1981-07-05
1981,7,6,86.52,8.07,,,,1981-07-06
1981,7,7,88.07,18.51,,,,1981-07-07
1981,7,8,89.67,24.64,,,,1981-07-08
1981,7,9,87.76,9.23,,,,1981-07-09
1981,7,10,85.56,6.29,,,,1981-07-10
1981,7,11,82.23,8.07,,,,1981-07-11
1981,7,12,85.51,52.46,,,,1981-07-12
1981,7,13,87.94,44.88,,,,1981-07-13
1981,7,14,88.75,12.06,,,,1981-07-14
1981,7,15,82.73,2.31,,,,1981-07-15
1981,7,16,81.11,3.07,,,,1981-07-16
1981,7,17,84.57,1.29,,,,1981-07-17
1981,7,18,81.55,9.32,,,,1981-07-18
1981,7,19,81.16,11.72,,,,1981-07-19
1981,7,20,82.67,7.63,,,,1981-07-20
1981,7,21,86.72,5.05,,,,1981-07-21
1981,7,22,85.27,1.01,,,,1981-07-22
1981,7,23,82.44,8.24,,,,1981-07-23
1981,7,24,84.5,16.95,,,,1981-07-24
1981,7,25,86.98,22.33,,,,1981-07-25
1981,7,26,83.25,11.34,,,,1981-07-26
1981,7,27,83.28,5.59,,,,1981-07-27
1981,7,28,86.45,2.89,,,,1981-07-28
1981,7,29,86.19,9.02,,,,1981-07-29
1981,7,30,82.97,8.17,,,,1981-07-30
1981,7,31,81.48,8.22,,,,1981-07-31
1981,8,1,79.86,1.29,,,,1981-08-01
1981,8,2,77.08,1.87,,,,1981-08-02
1981,8,3,77.29,4.64,,,,1981-08-03
1981,8,4,81.05,3.89,,,,1981-08-04
1981,8,5,79.41,1.45,,,,1981-08-05
1981,8,6,76.73,2.42,,,,1981-08-06
1981,8,7,80.95,17.84,,,,1981-08-07
1981,8,8,82.69,16.77,,,,1981-08-08
1981,8,9,83.97,7.34,,,,1981-08-09
1981,8,10,82.81,2.0,,,,1981-08-10
1981,8,11,84.69,6.57,,,,1981-08-11
1981,8,12,85.08,8.98,,,,1981-08-12
1981,8,13,82.63,5.76,,,,1981-08-13
1981,8,14,85.04,4.6,,,,1981-08-14
1981,8,15,83.74,2.45,,,,1981-08-15
1981,8,16,84.78,5.58,,,,1981-08-16
1981,8,17,85.44,7.19,,,,1981-08-17
1981,8,18,85.28,18.3,,,,1981-08-18
1981,8,19,86.4,23.11,,,,1981-08-19
1981,8,20,87.35,11.06,,,,1981-08-20
1981,8,21,86.17,3.41,,,,1981-08-21
1981,8,22,84.53,9.22,,,,1981-08-22
1981,8,23,87.39,16.25,,,,1981-08-23
1981,8,24,86.03,57.02,,,,1981-08-24
1981,8,25,92.11,23.29,,,,1981-08-25
1981,8,26,91.94,31.3,,,,1981-08-26
1981,8,27,93.57,19.48,,,,1981-08-27
1981,8,28,87.14,7.87,,,,1981-08-28
1981,8,29,86.09,10.2,,,,1981-08-29
1981,8,30,84.67,2.05,,,,1981-08-30
1981,8,31,86.8,3.1,,,,1981-08-31
1981,9,1,90.13,1.82,,,,1981-09-01
1981,9,2,89.57,9.59,,,,1981-09-02
1981,9,3,85.6,16.15,,,,1981-09-03
1981,9,4,82.49,5.8,,,,1981-09-04
1981,9,5,78.69,4.48,,,,1981-09-05
1981,9,6,82.73,2.59,,,,1981-09-06
1981,9,7,82.24,1.76,,,,1981-09-07
1981,9,8,85.83,6.57,,,,1981-09-08
1981,9,9,82.79,4.06,,,,1981-09-09
1981,9,10,84.35,0.92,,,,1981-09-10
1981,9,11,82.55,4.19,,,,1981-09-11
1981,9,12,83.54,7.97,,,,1981-09-12
1981,9,13,83.05,1.79,,,,1981-09-13
1981,9,14,81.01,2.99,,,,1981-09-14
1981,9,15,84.05,12.53,,,,1981-09-15
1981,9,16,85.11,31.27,,,,1981-09-16
1981,9,17,92.38,19.38,,,,1981-09-17
1981,9,18,87.58,7.41,,,,1981-09-18
1981,9,19,79.55,0.83,,,,1981-09-19
1981,9,20,78.51,0.48,,,,1981-09-20
1981,9,21,81.91,4.75,,,,1981-09-21
1981,9,22,84.33,11.07,,,,1981-09-22
1981,9,23,87.65,19.47,,,,1981-09-23
1981,9,24,87.19,3.8,,,,1981-09-24
1981,9,25,85.27,2.25,,,,1981-09-25
1981,9,26,85.08,6.22,,,,1981-09-26
1981,9,27,86.62,29.85,,,,1981-09-27
1981,9,28,87.77,19.62,,,,1981-09-28
1981,9,29,87.0,7.0,,,,1981-09-29
1981,9,30,88.61,8.71,,,,1981-09-30
1981,10,1,84.7,2.05,,,,1981-10-01
1981,10,2,88.29,1.74,,,,1981-10-02
1981,10,3,86.25,8.91,,,,1981-10-03
1981,10,4,84.17,3.75,,,,1981-10-04
1981,10,5,88.05,1.42,,,,1981-10-05
1981,10,6,83.3,1.02,,,,1981-10-06
1981,10,7,83.28,5.69,,,,1981-10-07
1981,10,8,82.62,1.71,,,,1981-10-08
1981,10,9,87.99,1.52,,,,1981-10-09
1981,10,10,84.14,1.22,,,,1981-10-10
1981,10,11,80.36,2.65,,,,1981-10-11
1981,10,12,79.49,0.77,,,,1981-10-12
1981,10,13,83.43,3.76,,,,1981-10-13
1981,10,14,87.03,0.82,,,,1981-10-14
1981,10,15,84.62,0.33,,,,1981-10-15
1981,10,16,86.13,0.25,,,,1981-10-16
1981,10,17,81.36,2.74,,,,1981-10-17
1981,10,18,83.47,6.66,,,,1981-10-18
1981,10,19,81.89,8.23,,,,1981-10-19
1981,10,20,83.39,1.04,,,,1981-10-20
1981,10,21,85.34,4.37,,,,1981-10-21
1981,10,22,80.52,0.52,,,,1981-10-22
1981,10,23,84.63,1.81,,,,1981-10-23
1981,10,24,79.57,0.46,,,,1981-10-24
1981,10,25,82.86,2.47,,,,1981-10-25
1981,10,26,86.46,1.88,,,,1981-10-26
1981,10,27,80.45,0.31,,,,1981-10-27
1981,10,28,82.89,2.06,,,,1981-10-28
1981,10,29,84.8,1.1,,,,1981-10-29
1981,10,30,83.72,0.14,,,,1981-10-30
1981,10,31,85.22,0.82,,,,1981-10-31
1981,11,1,82.78,1.62,,,,1981-11-01
1981,11,2,69.94,0.91,,,,1981-11-02
1981,11,3,70.86,0.16,,,,1981-11-03
1981,11,4,76.02,0.2,,,,1981-11-04
1981,11,5,82.44,1.33,,,,1981-11-05
1981,11,6,85.77,2.76,,,,1981-11-06
1981,11,7,80.94,0.32,,,,1981-11-07
1981,11,8,82.74,1.03,,,,1981-11-08
1981,11,9,82.61,3.54,,,,1981-11-09
1981,11,10,73.08,0.37,,,,1981-11-10
1981,11,11,76.21,0.73,,,,1981-11-11
1981,11,12,78.36,1.54,,,,1981-11-12
1981,11,13,79.17,0.83,,,,1981-11-13
1981,11,14,85.1,8.25,,,,1981-11-14
1981,11,15,79.07,0.18,,,,1981-11-15
1981,11,16,77.32,3.33,,,,1981-11-16
1981,11,17,74.16,2.25,,,,1981-11-17
1981,11,18,79.98,6.02,,,,1981-11-18
1981,11,19,80.39,2.23,,,,1981-11-19
1981,11,20,77.12,1.21,,,,1981-11-20
1981,11,21,79.49,0.03,,,,1981-11-21
1981,11,22,83.99,6.25,,,,1981-11-22
1981,11,23,83.98,3.66,,,,1981-11-23
1981,11,24,78.4,0.01,,,,1981-11-24
1981,11,25,79.26,4.4,,,,1981-11-25
1981,11,26,78.63,0.18,,,,1981-11-26
1981,11,27,77.58,4.52,,,,1981-11-27
1981,11,28,85.89,7.81,,,,1981-11-28
1981,11,29,88.19,1.07,,,,1981-11-29
1981,11,30,88.26,4.77,,,,1981-11-30
1981,12,1,85.32,1.85,,,,1981-12-01
1981,12,2,86.8,1.55,,,,1981-12-02
1981,12,3,89.19,8.3,,,,1981-12-03
1981,12,4,87.2,1.82,,,,1981-12-04
1981,12,5,82.5,4.01,,,,1981-12-05
1981,12,6,80.64,1.87,,,,1981-12-06
1981,12,7,83.11,0.85,,,,1981-12-07
1981,12,8,85.12,3.1,,,,1981-12-08
1981,12,9,82.93,0.76,,,,1981-12-09
1981,12,10,81.47,0.28,,,,1981-12-10
1981,12,11,81.19,0.03,,,,1981-12-11
1981,12,12,84.97,12.9,,,,1981-12-12
1981,12,13,84.98,9.99,,,,1981-12-13
1981,12,14,85.35,1.14,,,,1981-12-14
1981,12,15,80.69,4.01,,,,1981-12-15
1981,12,16,78.41,0.75,,,,1981-12-16
1981,12,17,83.92,0.4,,,,1981-12-17
1981,12,18,81.56,1.72,,,,1981-12-18
1981,12,19,81.34,0.83,,,,1981-12-19
1981,12,20,81.71,2.59,,,,1981-12-20
1981,12,21,86.44,0.41,,,,1981-12-21
1981,12,22,79.84,0.0,,,,1981-12-22
1981,12,23,76.85,1.42,,,,1981-12-23
1981,12,24,84.49,0.52,,,,1981-12-24
1981,12,25,80.03,0.81,,,,1981-12-25
1981,12,26,81.0,0.05,,,,1981-12-26
1981,12,27,79.78,0.0,,,,1981-12-27
1981,12,28,72.64,4.05,,,,1981-12-28
1981,12,29,81.03,18.45,,,,1981-12-29
1981,12,30,82.09,6.02,,,,1981-12-30
1981,12,31,85.88,0.0,,,,1981-12-31
1982,1,1,87.33,0.0,,,,1982-01-01
1982,1,2,85.69,0.07,,,,1982-01-02
1982,1,3,70.21,0.0,,,,1982-01-03
1982,1,4,63.78,0.08,,,,1982-01-04
1982,1,5,70.22,0.01,,,,1982-01-05
1982,1,6,78.84,0.57,,,,1982-01-06
1982,1,7,85.37,0.89,,,,1982-01-07
1982,1,8,81.12,0.9,,,,1982-01-08
1982,1,9,76.75,0.32,,,,1982-01-09
1982,1,10,80.62,0.41,,,,1982-01-10
1982,1,11,82.33,1.38,,,,1982-01-11
1982,1,12,76.37,0.29,,,,1982-01-12
1982,1,13,73.1,0.49,,,,1982-01-13
1982,1,14,69.06,1.67,,,,1982-01-14
1982,1,15,71.26,0.08,,,,1982-01-15
1982,1,16,82.1,0.11,,,,1982-01-16
1982,1,17,83.52,0.19,,,,1982-01-17
1982,1,18,76.5,0.0,,,,1982-01-18
1982,1,19,81.52,0.0,,,,1982-01-19
1982,1,20,82.96,0.0,,,,1982-01-20
1982,1,21,82.88,0.0,,,,1982-01-21
1982,1,22,77.72,0.02,,,,1982-01-22
1982,1,23,76.81,0.33,,,,1982-01-23
1982,1,24,70.12,0.02,,,,1982-01-24
1982,1,25,74.47,0.01,,,,1982-01-25
1982,1,26,74.17,0.31,,,,1982-01-26
1982,1,27,72.65,0.07,,,,1982-01-27
1982,1,28,81.43,0.0,,,,1982-01-28
1982,1,29,81.03,0.1,,,,1982-01-29
1982,1,30,73.64,0.03,,,,1982-01-30
1982,1,31,57.75,1.12,,,,1982-01-31
1982,2,1,64.88,0.0,,,,1982-02-01
1982,2,2,73.47,0.22,,,,1982-02-02
1982,2,3,73.52,0.29,,,,1982-02-03
1982,2,4,76.89,0.31,,,,1982-02-04
1982,2,5,78.97,0.23,,,,1982-02-05
1982,2,6,77.01,0.65,,,,1982-02-06
1982,2,7,68.71,0.09,,,,1982-02-07
1982,2,8,71.91,0.2,,,,1982-02-08
1982,2,9,69.97,0.18,,,,1982-02-09
1982,2,10,72.32,0.02,,,,1982-02-10
1982,2,11,76.88,1.0,,,,1982-02-11
1982,2,12,74.67,0.44,,,,1982-02-12
1982,2,13,79.99,0.3,,,,1982-02-13
1982,2,14,71.43,0.0,,,,1982-02-14
1982,2,15,71.24,0.37,,,,1982-02-15
1982,2,16,71.4,0.06,,,,1982-02-16
1982,2,17,70.41,0.3,,,,1982-02-17
1982,2,18,74.78,2.3,,,,1982-02-18
1982,2,19,80.67,0.15,,,,1982-02-19
1982,2,20,77.27,0.83,,,,1982-02-20
1982,2,21,83.28,2.45,,,,1982-02-21
1982,2,22,77.09,0.86,,,,1982-02-22
1982,2,23,76.66,0.08,,,,1982-02-23
1982,2,24,75.42,0.11,,,,1982-02-24
1982,2,25,80.22,3.67,,,,1982-02-25
1982,2,26,76.7,0.92,,,,1982-02-26
1982,2,27,67.65,0.26,,,,1982-02-27
1982,2,28,78.85,2.19,,,,1982-02-28
1982,3,1,78.4,1.97,,,,1982-03-01
1982,3,2,71.77,0.01,,,,1982-03-02
1982,3,3,69.83,0.0,,,,1982-03-03
1982,3,4,62.27,0.0,,,,1982-03-04
1982,3,5,57.6,0.0,,,,1982-03-05
1982,3,6,68.4,3.33,,,,1982-03-06
1982,3,7,60.6,0.68,,,,1982-03-07
1982,3,8,64.32,0.0,,,,1982-03-08
1982,3,9,66.62,0.11,,,,1982-03-09
1982,3,10,70.08,0.02,,,,1982-03-10
1982,3,11,68.85,0.0,,,,1982-03-11
1982,3,12,69.04,0.0,,,,1982-03-12
1982,3,13,66.05,0.0,,,,1982-03-13
1982,3,14,67.28,0.0,,,,1982-03-14
1982,3,15,65.65,0.0,,,,1982-03-15
1982,3,16,57.67,0.0,,,,1982-03-16
1982,3,17,61.93,0.0,,,,1982-03-17
1982,3,18,64.81,0.0,,,,1982-03-18
1982,3,19,61.25,0.0,,,,1982-03-19
1982,3,20,59.26,0.03,,,,1982-03-20
1982,3,21,55.31,0.38,,,,1982-03-21
1982,3,22,61.31,0.2,,,,1982-03-22
1982,3,23,63.89,0.07,,,,1982-03-23
1982,3,24,61.17,4.49,,,,1982-03-24
1982,3,25,73.25,1.26,,,,1982-03-25
1982,3,26,72.35,0.54,,,,1982-03-26
1982,3,27,68.11,0.33,,,,1982-03-27
1982,3,28,76.79,0.44,,,,1982-03-28
1982,3,29,66.98,0.1,,,,1982-03-29
1982,3,30,66.75,0.0,,,,1982-03-30
1982,3,31,65.89,0.0,,,,1982-03-31
1982,4,1,60.71,0.0,,,,1982-04-01
1982,4,2,54.98,0.0,,,,1982-04-02
1982,4,3,49.59,0.0,,,,1982-04-03
1982,4,4,54.12,0.0,,,,1982-04-04
1982,4,5,44.78,0.0,,,,1982-04-05
1982,4,6,60.05,0.0,,,,1982-04-06
1982,4,7,60.53,0.03,,,,1982-04-07
1982,4,8,48.48,0.0,,,,1982-04-08
1982,4,9,54.77,8.22,,,,1982-04-09
1982,4,10,68.42,1.58,,,,1982-04-10
1982,4,11,76.79,0.65,,,,1982-04-11
1982,4,12,68.11,0.01,,,,1982-04-12
1982,4,13,65.24,0.0,,,,1982-04-13
1982,4,14,60.63,0.04,,,,1982-04-14
1982,4,15,52.38,0.01,,,,1982-04-15
1982,4,16,49.96,0.03,,,,1982-04-16
1982,4,17,61.24,0.02,,,,1982-04-17
1982,4,18,64.05,0.28,,,,1982-04-18
1982,4,19,56.51,0.06,,,,1982-04-19
1982,4,20,56.66,2.13,,,,1982-04-20
1982,4,21,73.81,6.72,,,,1982-04-21
1982,4,22,71.13,0.65,,,,1982-04-22
1982,4,23,63.39,1.32,,,,1982-04-23
1982,4,24,64.24,0.11,,,,1982-04-24
1982,4,25,66.6,0.2,,,,1982-04-25
1982,4,26,70.55,1.92,,,,1982-04-26
1982,4,27,75.27,2.62,,,,1982-04-27
1982,4,28,73.57,4.47,,,,1982-04-28
1982,4,29,80.36,2.02,,,,1982-04-29
1982,4,30,78.56,4.25,,,,1982-04-30
1982,5,1,77.81,6.44,,,,1982-05-01
1982,5,2,77.91,3.06,,,,1982-05-02
1982,5,3,75.08,0.05,,,,1982-05-03
1982,5,4,73.04,0.11,,,,1982-05-04
1982,5,5,72.0,0.35,,,,1982-05-05
1982,5,6,71.01,6.01,,,,1982-05-06
1982,5,7,72.55,3.04,,,,1982-05-07
1982,5,8,74.19,0.1,,,,1982-05-08
1982,5,9,70.04,0.02,,,,1982-05-09
1982,5,10,67.04,0.06,,,,1982-05-10
1982,5,11,62.41,0.4,,,,1982-05-11
1982,5,12,66.15,4.27,,,,1982-05-12
1982,5,13,63.96,11.1,,,,1982-05-13
1982,5,14,73.75,10.66,,,,1982-05-14
1982,5,15,73.48,3.28,,,,1982-05-15
1982,5,16,71.17,3.12,,,,1982-05-16
1982,5,17,75.87,1.76,,,,1982-05-17
1982,5,18,72.65,2.38,,,,1982-05-18
1982,5,19,72.83,11.04,,,,1982-05-19
1982,5,20,78.26,16.99,,,,1982-05-20
1982,5,21,81.07,5.2,,,,1982-05-21
1982,5,22,73.43,3.71,,,,1982-05-22
1982,5,23,74.46,0.68,,,,1982-05-23
1982,5,24,75.52,0.53,,,,1982-05-24
1982,5,25,75.33,0.12,,,,1982-05-25
1982,5,26,73.16,0.0,,,,1982-05-26
1982,5,27,70.53,0.26,,,,1982-05-27
1982,5,28,68.45,0.09,,,,1982-05-28
1982,5,29,76.38,0.11,,,,1982-05-29
1982,5,30,75.83,0.03,,,,1982-05-30
1982,5,31,69.14,0.0,,,,1982-05-31
1982,6,1,71.08,0.0,,,,1982-06-01
1982,6,2,63.44,0.0,,,,1982-06-02
1982,6,3,59.74,0.18,,,,1982-06-03
1982,6,4,65.87,0.23,,,,1982-06-04
1982,6,5,69.21,0.81,,,,1982-06-05
1982,6,6,69.52,0.91,,,,1982-06-06
1982,6,7,69.12,0.64,,,,1982-06-07
1982,6,8,67.5,0.36,,,,1982-06-08
1982,6,9,65.24,2.21,,,,1982-06-09
1982,6,10,72.84,3.28,,,,1982-06-10
1982,6,11,70.57,3.06,,,,1982-06-11
1982,6,12,68.11,3.05,,,,1982-06-12
1982,6,13,70.17,6.57,,,,1982-06-13
1982,6,14,71.75,2.36,,,,1982-06-14
1982,6,15,72.98,0.14,,,,1982-06-15
1982,6,16,71.47,0.85,,,,1982-06-16
1982,6,17,69.82,0.2,,,,1982-06-17
1982,6,18,75.1,15.3,,,,1982-06-18
1982,6,19,77.48,7.03,,,,1982-06-19
1982,6,20,76.55,2.95,,,,1982-06-20
1982,6,21,69.32,4.88,,,,1982-06-21
1982,6,22,70.3,3.37,,,,1982-06-22
1982,6,23,71.12,1.05,,,,1982-06-23
1982,6,24,72.46,4.87,,,,1982-06-24
1982,6,25,74.35,6.27,,,,1982-06-25
1982,6,26,76.97,9.89,,,,1982-06-26
1982,6,27,78.7,12.48,,,,1982-06-27
1982,6,28,78.37,12.48,,,,1982-06-28
1982,6,29,76.34,1.63,,,,1982-06-29
1982,6,30,74.48,0.62,,,,1982-06-30
1982,7,1,73.05,2.07,,,,1982-07-01
1982,7,2,71.7,0.6,,,,1982-07-02
1982,7,3,73.37,0.24,,,,1982-07-03
1982,7,4,65.29,0.13,,,,1982-07-04
1982,7,5,64.87,0.08,,,,1982-07-05
1982,7,6,68.3,0.23,,,,1982-07-06
1982,7,7,68.65,0.69,,,,1982-07-07
1982,7,8,68.52,2.66,,,,1982-07-08
1982,7,9,73.07,1.48,,,,1982-07-09
1982,7,10,64.93,0.89,,,,1982-07-10
1982,7,11,70.31,10.73,,,,1982-07-11
